index,date,campaign,adgroup,ad,cost
0,01-03-2021,campaign 1,adgroup 1,ad 1,0.58
1,01-03-2021,campaign 1,adgroup 3,ad 1,0.17
2,01-03-2021,campaign 1,adgroup 4,ad 1,0.05
3,01-03-2021,campaign 1,adgroup 2,ad 1,0.01
4,01-03-2021,campaign 1,adgroup 2,ad 2,0.01
5,01-03-2021,campaign 1,adgroup 4,ad 2,0.03
6,01-03-2021,campaign 1,adgroup 1,ad 2,1.67
7,01-03-2021,campaign 1,adgroup 2,ad 3,0
8,01-03-2021,campaign 1,adgroup 3,ad 3,1.06
9,01-03-2021,campaign 1,adgroup 4,ad 3,0.08
10,01-03-2021,campaign 1,adgroup 1,ad 3,1.64
11,01-03-2021,campaign 1,adgroup 3,ad 4,0.17
12,01-03-2021,campaign 1,adgroup 3,ad 5,0.1
13,01-03-2021,campaign 1,adgroup 3,ad 6,0.88
14,01-03-2021,campaign 1,adgroup 2,ad 7,0.02
15,01-03-2021,campaign 1,adgroup 1,ad 7,0.3
16,01-03-2021,campaign 1,adgroup 3,ad 7,0.16
17,01-03-2021,campaign 1,adgroup 3,ad 8,0.98
18,01-03-2021,campaign 1,adgroup 1,ad 10,0.22
19,02-03-2021,campaign 1,adgroup 3,ad 1,0.24
20,02-03-2021,campaign 1,adgroup 4,ad 1,0
21,02-03-2021,campaign 1,adgroup 1,ad 1,0.65
22,02-03-2021,campaign 1,adgroup 2,ad 1,0.02
23,02-03-2021,campaign 1,adgroup 1,ad 2,1.57
24,02-03-2021,campaign 1,adgroup 4,ad 2,0
25,02-03-2021,campaign 1,adgroup 2,ad 2,0.02
26,02-03-2021,campaign 1,adgroup 1,ad 3,1.65
27,02-03-2021,campaign 1,adgroup 3,ad 3,1.36
28,02-03-2021,campaign 1,adgroup 4,ad 3,0.05
29,02-03-2021,campaign 1,adgroup 2,ad 3,0
30,02-03-2021,campaign 1,adgroup 3,ad 4,0.24
31,02-03-2021,campaign 1,adgroup 3,ad 5,0.07
32,02-03-2021,campaign 1,adgroup 3,ad 6,0.99
33,02-03-2021,campaign 1,adgroup 1,ad 7,0.46
34,02-03-2021,campaign 1,adgroup 3,ad 7,0.13
35,02-03-2021,campaign 1,adgroup 2,ad 7,0.04
36,02-03-2021,campaign 1,adgroup 3,ad 8,0.94
37,02-03-2021,campaign 1,adgroup 1,ad 10,0.12
38,03-03-2021,campaign 1,adgroup 4,ad 1,0
39,03-03-2021,campaign 1,adgroup 3,ad 1,0.09
40,03-03-2021,campaign 1,adgroup 1,ad 1,0.08
41,03-03-2021,campaign 1,adgroup 1,ad 2,0.18
42,03-03-2021,campaign 1,adgroup 2,ad 3,0
43,03-03-2021,campaign 1,adgroup 3,ad 3,0.34
44,03-03-2021,campaign 1,adgroup 1,ad 3,0.4
45,03-03-2021,campaign 1,adgroup 4,ad 3,0.02
46,03-03-2021,campaign 1,adgroup 3,ad 4,0.05
47,03-03-2021,campaign 1,adgroup 3,ad 5,0.03
48,03-03-2021,campaign 1,adgroup 3,ad 6,0.14
49,03-03-2021,campaign 1,adgroup 1,ad 7,0.07
50,03-03-2021,campaign 1,adgroup 2,ad 7,0
51,03-03-2021,campaign 1,adgroup 3,ad 7,0.07
52,03-03-2021,campaign 1,adgroup 3,ad 8,0.25
53,03-03-2021,campaign 1,adgroup 3,ad 71,0.87
54,03-03-2021,campaign 1,adgroup 1,ad 71,0.81
55,03-03-2021,campaign 1,adgroup 4,ad 71,0.03
56,03-03-2021,campaign 1,adgroup 2,ad 71,0.01
57,03-03-2021,campaign 1,adgroup 1,ad 10,0.02
58,03-03-2021,campaign 1,adgroup 4,ad 72,0.06
59,03-03-2021,campaign 1,adgroup 3,ad 72,2.05
60,03-03-2021,campaign 1,adgroup 2,ad 72,0.01
61,03-03-2021,campaign 1,adgroup 1,ad 72,0.67
62,03-03-2021,campaign 1,adgroup 4,ad 72,0.02
63,03-03-2021,campaign 1,adgroup 1,ad 72,1.69
64,03-03-2021,campaign 1,adgroup 2,ad 72,0.04
65,03-03-2021,campaign 1,adgroup 3,ad 72,0.56
66,04-03-2021,campaign 1,adgroup 3,ad 71,1.59
67,04-03-2021,campaign 1,adgroup 1,ad 71,1.66
68,04-03-2021,campaign 1,adgroup 4,ad 71,0.01
69,04-03-2021,campaign 1,adgroup 2,ad 71,0.05
70,04-03-2021,campaign 1,adgroup 3,ad 72,1.54
71,04-03-2021,campaign 1,adgroup 4,ad 72,0.01
72,04-03-2021,campaign 1,adgroup 4,ad 72,0.04
73,04-03-2021,campaign 1,adgroup 2,ad 72,0
74,04-03-2021,campaign 1,adgroup 1,ad 72,0.91
75,04-03-2021,campaign 1,adgroup 3,ad 72,0.4
76,04-03-2021,campaign 1,adgroup 1,ad 72,1.4
77,05-03-2021,campaign 1,adgroup 4,ad 73,0.01
78,05-03-2021,campaign 1,adgroup 3,ad 73,0.7
79,05-03-2021,campaign 1,adgroup 2,ad 73,0.05
80,05-03-2021,campaign 1,adgroup 1,ad 73,1.07
81,05-03-2021,campaign 1,adgroup 4,ad 71,0.01
82,05-03-2021,campaign 1,adgroup 1,ad 71,0.2
83,05-03-2021,campaign 1,adgroup 3,ad 71,0.49
84,05-03-2021,campaign 1,adgroup 2,ad 74,0.04
85,05-03-2021,campaign 1,adgroup 4,ad 74,0.13
86,05-03-2021,campaign 1,adgroup 1,ad 74,1.94
87,05-03-2021,campaign 1,adgroup 3,ad 74,2.9
88,05-03-2021,campaign 1,adgroup 4,ad 75,0
89,05-03-2021,campaign 1,adgroup 1,ad 75,0.72
90,05-03-2021,campaign 1,adgroup 3,ad 75,0.32
91,05-03-2021,campaign 1,adgroup 3,ad 72,0.17
92,05-03-2021,campaign 1,adgroup 1,ad 72,0.31
93,05-03-2021,campaign 1,adgroup 1,ad 72,0.27
94,05-03-2021,campaign 1,adgroup 3,ad 72,0.55
95,05-03-2021,campaign 1,adgroup 2,ad 72,0.02
96,05-03-2021,campaign 1,adgroup 2,ad 72,0
97,05-03-2021,campaign 1,adgroup 4,ad 72,0
98,06-03-2021,campaign 1,adgroup 3,ad 73,0.66
99,06-03-2021,campaign 1,adgroup 2,ad 73,0.01
100,06-03-2021,campaign 1,adgroup 1,ad 73,0.61
101,06-03-2021,campaign 1,adgroup 4,ad 73,0.01
102,06-03-2021,campaign 1,adgroup 4,ad 74,0.06
103,06-03-2021,campaign 1,adgroup 3,ad 74,3.36
104,06-03-2021,campaign 1,adgroup 2,ad 74,0.03
105,06-03-2021,campaign 1,adgroup 1,ad 74,2.67
106,06-03-2021,campaign 1,adgroup 2,ad 75,0.03
107,06-03-2021,campaign 1,adgroup 3,ad 75,0.45
108,06-03-2021,campaign 1,adgroup 4,ad 75,0.02
109,06-03-2021,campaign 1,adgroup 1,ad 75,0.58
110,07-03-2021,campaign 1,adgroup 4,ad 73,0
111,07-03-2021,campaign 1,adgroup 3,ad 73,0.78
112,07-03-2021,campaign 1,adgroup 2,ad 73,0.07
113,07-03-2021,campaign 1,adgroup 1,ad 73,0.63
114,07-03-2021,campaign 1,adgroup 2,ad 74,0.07
115,07-03-2021,campaign 1,adgroup 3,ad 74,3.53
116,07-03-2021,campaign 1,adgroup 4,ad 74,0.09
117,07-03-2021,campaign 1,adgroup 1,ad 74,3.47
118,07-03-2021,campaign 1,adgroup 1,ad 75,0.77
119,07-03-2021,campaign 1,adgroup 3,ad 75,0.47
120,07-03-2021,campaign 1,adgroup 2,ad 75,0.03
121,07-03-2021,campaign 1,adgroup 4,ad 75,0.03
122,08-03-2021,campaign 1,adgroup 1,ad 1,0.62
123,08-03-2021,campaign 1,adgroup 4,ad 1,0.01
124,08-03-2021,campaign 1,adgroup 3,ad 1,0.08
125,08-03-2021,campaign 1,adgroup 2,ad 1,0
126,08-03-2021,campaign 1,adgroup 1,ad 2,1.49
127,08-03-2021,campaign 1,adgroup 2,ad 2,0.02
128,08-03-2021,campaign 1,adgroup 1,ad 3,1.62
129,08-03-2021,campaign 1,adgroup 3,ad 3,1.21
130,08-03-2021,campaign 1,adgroup 4,ad 3,0.02
131,08-03-2021,campaign 1,adgroup 2,ad 3,0.02
132,08-03-2021,campaign 1,adgroup 3,ad 4,0.07
133,08-03-2021,campaign 1,adgroup 3,ad 5,0.05
134,08-03-2021,campaign 1,adgroup 3,ad 6,1.03
135,08-03-2021,campaign 1,adgroup 3,ad 7,0.12
136,08-03-2021,campaign 1,adgroup 1,ad 7,0.15
137,08-03-2021,campaign 1,adgroup 2,ad 7,0.06
138,08-03-2021,campaign 1,adgroup 3,ad 8,1.03
139,08-03-2021,campaign 1,adgroup 1,ad 73,0
140,08-03-2021,campaign 1,adgroup 1,ad 10,0.16
141,08-03-2021,campaign 1,adgroup 2,ad 56,0
142,08-03-2021,campaign 1,adgroup 3,ad 56,0.09
143,08-03-2021,campaign 1,adgroup 4,ad 56,0.01
144,08-03-2021,campaign 1,adgroup 1,ad 55,0.17
145,08-03-2021,campaign 1,adgroup 2,ad 55,0.01
146,08-03-2021,campaign 1,adgroup 3,ad 55,0.05
147,08-03-2021,campaign 1,adgroup 1,ad 56,0.31
148,09-03-2021,campaign 1,adgroup 1,ad 1,0.44
149,09-03-2021,campaign 1,adgroup 3,ad 1,0.12
150,09-03-2021,campaign 1,adgroup 4,ad 1,0.03
151,09-03-2021,campaign 1,adgroup 4,ad 2,0
152,09-03-2021,campaign 1,adgroup 1,ad 2,0.9
153,09-03-2021,campaign 1,adgroup 2,ad 2,0
154,09-03-2021,campaign 1,adgroup 3,ad 3,1.29
155,09-03-2021,campaign 1,adgroup 2,ad 3,0.03
156,09-03-2021,campaign 1,adgroup 1,ad 3,1.15
157,09-03-2021,campaign 1,adgroup 4,ad 3,0.03
158,09-03-2021,campaign 1,adgroup 3,ad 4,0.09
159,09-03-2021,campaign 1,adgroup 3,ad 5,0.04
160,09-03-2021,campaign 1,adgroup 3,ad 6,0.91
161,09-03-2021,campaign 1,adgroup 2,ad 7,0
162,09-03-2021,campaign 1,adgroup 3,ad 7,0.21
163,09-03-2021,campaign 1,adgroup 1,ad 7,0.07
164,09-03-2021,campaign 1,adgroup 3,ad 8,0.93
165,09-03-2021,campaign 1,adgroup 4,ad 10,0
166,09-03-2021,campaign 1,adgroup 1,ad 10,0.29
167,09-03-2021,campaign 1,adgroup 3,ad 56,0.18
168,09-03-2021,campaign 1,adgroup 2,ad 56,0.01
169,09-03-2021,campaign 1,adgroup 1,ad 55,0.1
170,09-03-2021,campaign 1,adgroup 3,ad 55,0.04
171,09-03-2021,campaign 1,adgroup 4,ad 56,0
172,09-03-2021,campaign 1,adgroup 1,ad 56,0.37
173,10-03-2021,campaign 1,adgroup 1,ad 1,0.49
174,10-03-2021,campaign 1,adgroup 2,ad 1,0
175,10-03-2021,campaign 1,adgroup 3,ad 1,0.12
176,10-03-2021,campaign 1,adgroup 4,ad 1,0
177,10-03-2021,campaign 1,adgroup 4,ad 2,0.02
178,10-03-2021,campaign 1,adgroup 1,ad 2,0.85
179,10-03-2021,campaign 1,adgroup 2,ad 2,0.02
180,10-03-2021,campaign 1,adgroup 2,ad 3,0.03
181,10-03-2021,campaign 1,adgroup 3,ad 3,1.16
182,10-03-2021,campaign 1,adgroup 4,ad 3,0
183,10-03-2021,campaign 1,adgroup 1,ad 3,2.05
184,10-03-2021,campaign 1,adgroup 3,ad 4,0.18
185,10-03-2021,campaign 1,adgroup 3,ad 5,0.22
186,10-03-2021,campaign 1,adgroup 3,ad 6,0.72
187,10-03-2021,campaign 1,adgroup 3,ad 7,0.06
188,10-03-2021,campaign 1,adgroup 1,ad 7,0.22
189,10-03-2021,campaign 1,adgroup 2,ad 7,0.01
190,10-03-2021,campaign 1,adgroup 3,ad 8,1
191,10-03-2021,campaign 1,adgroup 1,ad 10,0.1
192,10-03-2021,campaign 1,adgroup 1,ad 56,0.31
193,10-03-2021,campaign 1,adgroup 3,ad 55,0.12
194,10-03-2021,campaign 1,adgroup 1,ad 55,0.07
195,10-03-2021,campaign 1,adgroup 3,ad 56,0.15
196,11-03-2021,campaign 1,adgroup 4,ad 1,0
197,11-03-2021,campaign 1,adgroup 2,ad 1,0
198,11-03-2021,campaign 1,adgroup 3,ad 1,0.09
199,11-03-2021,campaign 1,adgroup 1,ad 1,0.43
200,11-03-2021,campaign 1,adgroup 2,ad 2,0.06
201,11-03-2021,campaign 1,adgroup 4,ad 2,0.02
202,11-03-2021,campaign 1,adgroup 1,ad 2,1.17
203,11-03-2021,campaign 1,adgroup 4,ad 3,0.05
204,11-03-2021,campaign 1,adgroup 2,ad 3,0
205,11-03-2021,campaign 1,adgroup 3,ad 3,1.27
206,11-03-2021,campaign 1,adgroup 1,ad 3,1.41
207,11-03-2021,campaign 1,adgroup 3,ad 4,0.1
208,11-03-2021,campaign 1,adgroup 3,ad 5,0.18
209,11-03-2021,campaign 1,adgroup 3,ad 6,0.85
210,11-03-2021,campaign 1,adgroup 2,ad 7,0.03
211,11-03-2021,campaign 1,adgroup 1,ad 7,0.14
212,11-03-2021,campaign 1,adgroup 3,ad 7,0.22
213,11-03-2021,campaign 1,adgroup 3,ad 8,0.97
214,11-03-2021,campaign 1,adgroup 1,ad 10,0.18
215,11-03-2021,campaign 1,adgroup 2,ad 56,0.02
216,11-03-2021,campaign 1,adgroup 1,ad 56,0.2
217,11-03-2021,campaign 1,adgroup 3,ad 55,0.09
218,11-03-2021,campaign 1,adgroup 3,ad 56,0.07
219,11-03-2021,campaign 1,adgroup 1,ad 55,0.19
220,12-03-2021,campaign 1,adgroup 4,ad 1,0
221,12-03-2021,campaign 1,adgroup 3,ad 1,0.12
222,12-03-2021,campaign 1,adgroup 1,ad 1,0.43
223,12-03-2021,campaign 1,adgroup 2,ad 1,0.01
224,12-03-2021,campaign 1,adgroup 2,ad 2,0.04
225,12-03-2021,campaign 1,adgroup 1,ad 2,0.98
226,12-03-2021,campaign 1,adgroup 4,ad 2,0.02
227,12-03-2021,campaign 1,adgroup 4,ad 3,0.01
228,12-03-2021,campaign 1,adgroup 1,ad 3,1.08
229,12-03-2021,campaign 1,adgroup 2,ad 3,0.02
230,12-03-2021,campaign 1,adgroup 3,ad 3,1.39
231,12-03-2021,campaign 1,adgroup 3,ad 4,0.09
232,12-03-2021,campaign 1,adgroup 3,ad 5,0.24
233,12-03-2021,campaign 1,adgroup 3,ad 6,0.66
234,12-03-2021,campaign 1,adgroup 1,ad 7,0.07
235,12-03-2021,campaign 1,adgroup 3,ad 7,0.13
236,12-03-2021,campaign 1,adgroup 2,ad 7,0.02
237,12-03-2021,campaign 1,adgroup 3,ad 8,0.9
238,12-03-2021,campaign 1,adgroup 1,ad 10,0.26
239,12-03-2021,campaign 1,adgroup 1,ad 56,0.28
240,12-03-2021,campaign 1,adgroup 2,ad 56,0
241,12-03-2021,campaign 1,adgroup 3,ad 55,0.03
242,12-03-2021,campaign 1,adgroup 1,ad 55,0.11
243,12-03-2021,campaign 1,adgroup 3,ad 56,0.09
244,13-03-2021,campaign 1,adgroup 2,ad 1,0
245,13-03-2021,campaign 1,adgroup 3,ad 1,0.14
246,13-03-2021,campaign 1,adgroup 4,ad 1,0.02
247,13-03-2021,campaign 1,adgroup 1,ad 1,0.28
248,13-03-2021,campaign 1,adgroup 2,ad 2,0.03
249,13-03-2021,campaign 1,adgroup 4,ad 2,0
250,13-03-2021,campaign 1,adgroup 1,ad 2,0.73
251,13-03-2021,campaign 1,adgroup 1,ad 3,1.27
252,13-03-2021,campaign 1,adgroup 2,ad 3,0.03
253,13-03-2021,campaign 1,adgroup 3,ad 3,1.58
254,13-03-2021,campaign 1,adgroup 4,ad 3,0.02
255,13-03-2021,campaign 1,adgroup 3,ad 4,0.28
256,13-03-2021,campaign 1,adgroup 3,ad 5,0.1
257,13-03-2021,campaign 1,adgroup 3,ad 6,0.41
258,13-03-2021,campaign 1,adgroup 1,ad 7,0.07
259,13-03-2021,campaign 1,adgroup 3,ad 7,0.2
260,13-03-2021,campaign 1,adgroup 2,ad 7,0.02
261,13-03-2021,campaign 1,adgroup 3,ad 8,0.79
262,13-03-2021,campaign 1,adgroup 1,ad 10,0.22
263,13-03-2021,campaign 1,adgroup 1,ad 56,0.26
264,13-03-2021,campaign 1,adgroup 2,ad 55,0.02
265,13-03-2021,campaign 1,adgroup 1,ad 55,0.1
266,13-03-2021,campaign 1,adgroup 3,ad 56,0.13
267,13-03-2021,campaign 1,adgroup 3,ad 55,0.04
268,13-03-2021,campaign 1,adgroup 2,ad 56,0
269,14-03-2021,campaign 1,adgroup 2,ad 1,0.03
270,14-03-2021,campaign 1,adgroup 1,ad 1,0.4
271,14-03-2021,campaign 1,adgroup 4,ad 1,0
272,14-03-2021,campaign 1,adgroup 3,ad 1,0.09
273,14-03-2021,campaign 1,adgroup 1,ad 2,0.84
274,14-03-2021,campaign 1,adgroup 2,ad 2,0.02
275,14-03-2021,campaign 1,adgroup 4,ad 2,0.03
276,14-03-2021,campaign 1,adgroup 4,ad 3,0.08
277,14-03-2021,campaign 1,adgroup 3,ad 3,1.73
278,14-03-2021,campaign 1,adgroup 1,ad 3,1.76
279,14-03-2021,campaign 1,adgroup 2,ad 3,0.03
280,14-03-2021,campaign 1,adgroup 3,ad 4,0.08
281,14-03-2021,campaign 1,adgroup 3,ad 5,0.11
282,14-03-2021,campaign 1,adgroup 3,ad 6,0.6
283,14-03-2021,campaign 1,adgroup 2,ad 7,0
284,14-03-2021,campaign 1,adgroup 3,ad 7,0.2
285,14-03-2021,campaign 1,adgroup 1,ad 7,0.14
286,14-03-2021,campaign 1,adgroup 3,ad 8,0.97
287,14-03-2021,campaign 1,adgroup 1,ad 10,0.21
288,14-03-2021,campaign 1,adgroup 4,ad 56,0
289,14-03-2021,campaign 1,adgroup 1,ad 55,0.05
290,14-03-2021,campaign 1,adgroup 3,ad 55,0.07
291,14-03-2021,campaign 1,adgroup 1,ad 56,0.24
292,14-03-2021,campaign 1,adgroup 3,ad 56,0.14
293,15-03-2021,campaign 1,adgroup 4,ad 1,0.03
294,15-03-2021,campaign 1,adgroup 1,ad 1,0.48
295,15-03-2021,campaign 1,adgroup 3,ad 1,0.07
296,15-03-2021,campaign 1,adgroup 2,ad 1,0.02
297,15-03-2021,campaign 1,adgroup 1,ad 2,0.97
298,15-03-2021,campaign 1,adgroup 4,ad 2,0.01
299,15-03-2021,campaign 1,adgroup 2,ad 2,0
300,15-03-2021,campaign 1,adgroup 4,ad 3,0.01
301,15-03-2021,campaign 1,adgroup 2,ad 3,0.04
302,15-03-2021,campaign 1,adgroup 1,ad 3,1.36
303,15-03-2021,campaign 1,adgroup 3,ad 3,1.42
304,15-03-2021,campaign 1,adgroup 3,ad 4,0.2
305,15-03-2021,campaign 1,adgroup 3,ad 5,0.17
306,15-03-2021,campaign 1,adgroup 3,ad 6,0.81
307,15-03-2021,campaign 1,adgroup 3,ad 7,0.11
308,15-03-2021,campaign 1,adgroup 2,ad 7,0.03
309,15-03-2021,campaign 1,adgroup 1,ad 7,0.23
310,15-03-2021,campaign 1,adgroup 3,ad 8,0.67
311,15-03-2021,campaign 1,adgroup 1,ad 10,0.1
312,15-03-2021,campaign 1,adgroup 4,ad 10,0
313,15-03-2021,campaign 1,adgroup 4,ad 55,0.01
314,15-03-2021,campaign 1,adgroup 3,ad 55,0.01
315,15-03-2021,campaign 1,adgroup 1,ad 55,0.14
316,15-03-2021,campaign 1,adgroup 3,ad 56,0.06
317,15-03-2021,campaign 1,adgroup 1,ad 56,0.33
